,precio_anterior,precio,precio_rel,producto,link,precio_rel_anterior,precio_rel_1,precio_medida,medida,Q_medida
107,2.09 ,1.99,3.48 /kg | 3.32 /kg,Ketchup Prima envase 600 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=840,3.48 /kg , 3.32 /kg,3.32,kg,0.599
108,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=840,0.82 /l , 0.79 /l,0.79,l,1.0
109,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=840,0.82 /l , 0.79 /l,0.79,l,1.0
110,16.49 ,12.99,20.61 /kg | 16.24 /kg,Bombones surtidos de chocolate Nestle Caja Roja 800 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=864,20.61 /kg , 16.24 /kg,16.24,kg,0.8
111,1.89 ,1.74,31.50 /kg | 29 /kg,Ajo en polvo Carmencita sin gluten 60 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=864,31.50 /kg , 29 /kg,29.0,kg,0.06
112,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=864,0.82 /l , 0.79 /l,0.79,l,1.0
113,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=864,0.82 /l , 0.79 /l,0.79,l,1.0
114,2.49 ,2.39,11.86 /kg | 11.38 /kg,Mostaza a la antigua Maille tarro 210 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=888,11.86 /kg , 11.38 /kg,11.38,kg,0.21
115,0.82 ,0.79,0.82 /l | 0.79 /l,Leche semidesnatada Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=888,0.82 /l , 0.79 /l,0.79,l,1.0
116,0.82 ,0.79,0.82 /l | 0.79 /l,Leche entera Central Lechera Asturiana brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=888,0.82 /l , 0.79 /l,0.79,l,1.0
117,2.25 ,2.09,27.44 /kg | 25.49 /kg,Sardinillas en aceite de oliva Albo 82 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=912,27.44 /kg , 25.49 /kg,25.49,kg,0.082
